district,name,address,website,contact,district_roman,type
District 10,Hunfalvy János Két Tanítási Nyelvű Közgazdasági és Kereskedelmi Szakgimnázium,"Budapest, Ponty u. 3, 1011",http://www.hunfalvy-szki.hu,,X,szakgimnázium
District 10,Kosztolányi Dezső Gimnázium,"Budapest, Attila út 135, 1012",http://kosztolanyigimnazium.hu,,X,gimnázium
District 10,Petőfi Sándor Gimnázium,"Budapest, Attila út 43, 1013",http://www.psg1892.hu,,X,gimnázium
District 10,Budapesti Egyetemi Katolikus Gimnázium,"Budapest, Szabó Ilonka u. 2, 1015",http://egyetemi.hu/,,X,gimnázium
District 10,Szent Gellért Katolikus Általános Iskola és Gimnázium,"Budapest, Gellérthegy u. 7, 1016",http://www.sztg.info,,X,gimnázium
District 10,Kodály Zoltán Magyar Kórusiskola,"Budapest, Toldy Ferenc u. 28-30, 1015",http://www.kzmk.hu,,X,
District 10,Szilágyi Erzsébet Gimnázium,"Budapest, Mészáros u. 5-7, 1016",http://www.szegbp.edu.hu,,X,gimnázium
District 10,Toldy Ferenc Gimnázium,"Budapest, Toldy Ferenc u. 9, 1015",http://www.toldygimnazium.hu,,X,gimnázium
District 10,Pasaréti Gimnázium,"Budapest, Lóczy Lajos u. 11, 1022",https://gimi.hu/,,X,gimnázium
District 10,"Baár–Madas Református Gimnázium, Általános Iskola és Kollégium","Budapest, Lorántffy Zsuzsanna utca 3, 1022",http://www.bmrg.hu,,X,gimnázium
District 10,Budenz József Általános Iskola és Gimnázium,"Budapest, Budenz út 20, 1021",http://budenz.sulinet.hu,,X,gimnázium
District 10,Csik Ferenc Általános Iskola és Gimnázium,"Budapest, Medve u. 5-7, 1027",http://csikf-bp.sulinet.hu,,X,gimnázium
District 10,"Gustave Eiffel Francia Óvoda, Általános Iskola és Gimnázium","Budapest, Máriaremetei út 193-199., 1029",https://www.franciaintezet.hu/hu/cikkek/oktatas/tanuloknak/budapesti-gustave-eiffel-francia-ovoda-altalanos-iskola-es-gimnazium.html,,X,gimnázium
District 10,Szabó Lőrinc Két Tannyelvű Általános Iskola és Gimnázium,"Budapest, Fenyves u. 1-3, 1026",http://www.szabol-bp.sulinet.hu,,X,gimnázium
District 10,Szent Angéla Ferences Általános Iskola és Gimnázium,"Budapest, Ady Endre u. 3, 1024",http://sztangela.hu,,X,gimnázium
District 10,II. Rákóczi Ferenc Gimnázium,"Budapest, Keleti Károly u. 37, 1024",http://www.budai-rfg.sulinet.hu,,X,gimnázium
District 10,Klebelsberg Kuno Általános Iskola és Gimnázium,"Budapest, Szabadság u. 23, 1028",http://www.klebi.hu,,X,gimnázium
District 10,"Kodály Zoltán Ének-zenei Általános Iskola, Gimnázium és Zenei Alapfokú Művészeti Iskola","Budapest, Marczibányi tér 1, 1022",http://www.kodaly-bp.sulinet.hu,,X,gimnázium
District 10,Móricz Zsigmond Gimnázium,"Budapest, Törökvész út 48-54, 1025",http://www.moricz-bp.sulinet.hu/,,X,gimnázium
District 10,"Than Károly Ökoiskola Gimnázium, Szakközépiskola és Szakiskola","Budapest, Lajos u. 1-5, 1023",http://than.hu,,X,szakközépiskola
District 10,"Szent József Katolikus Óvoda, Általános Iskola és Gimnázium","Budapest, Templom u. 5, 1038",http://www.sztjozsef.net,,X,gimnázium
District 10,Alternatív Közgazdasági Gimnázium,"Budapest, Raktár u. 1, 1035",http://akg.hu,,X,gimnázium
District 10,Óbudai Árpád Gimnázium,"Budapest, Nagyszombat u. 19, 1034",http://www.arpadgimnazium.hu,,X,gimnázium
District 10,Bláthy Ottó Titusz Informatikai Szakgimnázium,"Budapest, Bécsi út 134, 1032",http://www.blathy-bp.sulinet.hu,,X,szakgimnázium
District 10,Óbudai Gimnázium,"Budapest, Szentlélek tér 10, 1033",http://www.obudaigimnazium.hu,,X,gimnázium
District 10,Veres Péter Gimnázium,"Budapest, Csobánka tér 7, 1039",http://verespg.hu,,X,gimnázium
District 10,Kerék Általános Iskola és Gimnázium,"Budapest, Kerék u. 18-20, 1035",http://www.kerek-u.sulinet.hu,,X,gimnázium
District 10,Kőrösi Csoma Sándor Két Tanítási Nyelvű Baptista Gimnázium,"Budapest, Szentendrei út 83, 1033",http://www.korosi.hu,,X,gimnázium
District 10,Pázmány Péter Gimnázium,"Budapest, Gladiátor utca 19, 1031",,,X,gimnázium
District 10,"BGSZC Varga István Kereskedelmi, Közgazdasági Szakgimnáziuma és Szakközépiskolája","Budapest, Hatvany Lajos u. 7, 1039",http://www.viszki.hu/index.php/hu/,,X,szakgimnázium
District 10,Újpesti Könyves Kálmán Gimnázium,"Budapest, Tanoda tér 1, 1043",http://kkg.hu,,X,gimnázium
District 10,Újpesti Két Tanítási Nyelvű Műszaki Szakközépiskola és Gimnázium,"Budapest, Görgey Artúr u. 26, 1041",http://www.umszki.hu,,X,szakközépiskola
District 10,Babits Mihály Gimnázium,"Budapest, Tóth Aladár u. 16-18, 1048",http://babits.hu,,X,gimnázium
District 10,Újpesti Bródy Imre Gimnázium,"Budapest, Langlet Waldemár u. 3, 1047",http://www.brody-bp.sulinet.hu,,X,gimnázium
Unknown District,Régi Újpesti Bródy Imre Gimnázium,"Budapest, Attila utca 10.",,Az épület üresen áll.,,gimnázium
Unknown District,Bay Zoltán Szakközépiskola,"Budapest, Lőrincz utca 40.",,Az épület üresen áll.,,szakközépiskola
District 10,Károlyi István 12 Évfolyamos Gimnázium,"Budapest, Erzsébet u., 1042",http://kig.hu,,X,gimnázium
District 10,Berzeviczy Gergely Két Tanítási Nyelvű Közgazdasági Szakgimnázium,"Budapest, Baross u. 72, 1047",http://berzeviczy.hu,,X,szakgimnázium
District 10,Kanizsay Dorottya Egészségügyi Szakképző Iskola és Gimnázium,"Budapest, Kassai u. 24/a, 1043",http://www.kanizsay.sulinet.hu,,X,gimnázium
District 10,Újpesti Csokonai Vitéz Mihály Általános Iskola és Gimnázium,"Budapest, Bőrfestő u. 5-9, 1048",http://www.csvmg.hu,,X,gimnázium
